GENE_SYMBOL	ASSOC_REFERENCE_YEAR	N	cumulative_trials
PTK2B	2004	2	2
PTK2B	2005	2	4
PTK2B	2008	1	5
PTK2B	2023	1	6
ROS1	2010	2	2
ROS1	2012	2	4
ROS1	2013	2	6
ROS1	2014	7	13
ROS1	2015	36	49
ROS1	2016	14	63
ROS1	2017	30	93
ROS1	2018	8	101
ROS1	2019	9	110
ROS1	2020	13	123
ROS1	2021	13	136
ROS1	2022	9	145
ROS1	2023	16	161
ROS1	2024	13	174
SCN10A	2014	2	2
SCN10A	2016	1	3
SCN10A	2018	2	5
SCN10A	2023	4	9
SERPINC1	2007	1	1
SERPINC1	2009	3	4
SERPINC1	2010	7	11
SERPINC1	2011	5	16
SERPINC1	2012	15	31
SERPINC1	2013	3	34
SERPINC1	2014	12	46
SERPINC1	2015	1	47
SERPINC1	2016	9	56
SERPINC1	2017	4	60
SERPINC1	2019	7	67
SERPINC1	2020	6	73
SERPINC1	2021	15	88
SERPINC1	2022	2	90
SERPINC1	2023	7	97
SERPINC1	2024	4	101
SSTR2	2010	1	1
SSTR2	2011	4	5
SSTR2	2013	1	6
SSTR2	2014	6	12
SSTR2	2015	3	15
SSTR2	2016	6	21
SSTR2	2017	2	23
SSTR2	2018	7	30
SSTR2	2019	24	54
SSTR2	2020	9	63
SSTR2	2021	10	73
SSTR2	2022	24	97
SSTR2	2023	12	109
SSTR2	2024	6	115
TACR1	2016	1	1
TACR1	2020	5	6
TACR1	2024	7	13
TACR3	2016	1	1
TACR3	2023	1	2
TACSTD2	2015	1	1
TACSTD2	2018	7	8
TACSTD2	2019	7	15
TACSTD2	2020	2	17
TACSTD2	2021	1	18
TACSTD2	2022	11	29
TACSTD2	2023	7	36
TACSTD2	2024	13	49
TK1	2004	2	2
TK1	2006	3	5
TK1	2007	1	6
TK1	2009	12	18
TK1	2010	1	19
TK1	2013	2	21
TK1	2015	2	23
TK1	2017	2	25
TK1	2018	2	27
TK1	2019	8	35
TK1	2021	1	36
TK1	2022	6	42
TK1	2024	6	48
TNFRSF17	2009	2	2
TNFRSF17	2015	4	6
TNFRSF17	2016	2	8
TNFRSF17	2017	19	27
TNFRSF17	2018	20	47
TNFRSF17	2019	24	71
TNFRSF17	2020	44	115
TNFRSF17	2021	18	133
TNFRSF17	2022	33	166
TNFRSF17	2023	33	199
TNFRSF17	2024	70	269
TNFSF13	2009	4	4
TNFSF13	2017	4	8
TNFSF13	2024	1	9
TRPM8	2007	1	1
TRPM8	2010	3	4
TYK2	2020	1	1
TYK2	2021	5	6
TYK2	2022	3	9
TYK2	2023	2	11
